time_sec,seq,ax_ms2,ay_ms2,az_ms2,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.307244,93363,-0.016000,-0.113000,9.859000,-0.001632,-0.011523,1.005338,0.000000,-0.001000,-0.001000
0.307549,93364,-0.023000,-0.102000,9.824000,-0.002345,-0.010401,1.001769,0.001000,-0.002000,-0.002000
0.307831,93365,-0.020000,-0.105000,9.837000,-0.002039,-0.010707,1.003095,0.001000,-0.001000,-0.002000
0.308120,93366,-0.002000,-0.102000,9.848000,-0.000204,-0.010401,1.004217,0.000000,-0.001000,-0.002000
0.308418,93367,-0.008000,-0.114000,9.837000,-0.000816,-0.011625,1.003095,0.001000,-0.001000,-0.001000
0.490850,93368,-0.019000,-0.113000,9.847000,-0.001937,-0.011523,1.004115,0.000000,-0.002000,-0.001000
0.491134,93369,-0.017000,-0.113000,9.846000,-0.001734,-0.011523,1.004013,0.000000,-0.001000,0.000000
0.491385,93370,0.000000,-0.086000,9.859000,0.000000,-0.008770,1.005338,0.000000,-0.002000,-0.001000
0.491665,93371,-0.013000,-0.120000,9.842000,-0.001326,-0.012237,1.003605,0.000000,-0.001000,-0.002000
0.491951,93372,-0.013000,-0.113000,9.841000,-0.001326,-0.011523,1.003503,0.000000,-0.001000,-0.003000
0.587235,93373,-0.020000,-0.109000,9.852000,-0.002039,-0.011115,1.004624,0.000000,0.000000,0.000000
0.587571,93374,-0.013000,-0.109000,9.856000,-0.001326,-0.011115,1.005032,0.000000,-0.001000,0.000000
0.587859,93375,-0.005000,-0.105000,9.846000,-0.000510,-0.010707,1.004013,0.000000,-0.001000,-0.001000
0.588123,93376,-0.012000,-0.095000,9.832000,-0.001224,-0.009687,1.002585,0.000000,-0.002000,-0.002000
0.588389,93377,-0.008000,-0.105000,9.850000,-0.000816,-0.010707,1.004420,0.000000,-0.003000,-0.001000
0.683768,93378,-0.008000,-0.101000,9.839000,-0.000816,-0.010299,1.003299,0.000000,-0.001000,-0.001000
0.684042,93379,-0.007000,-0.102000,9.848000,-0.000714,-0.010401,1.004217,0.000000,-0.001000,0.000000
0.684316,93380,-0.025000,-0.113000,9.838000,-0.002549,-0.011523,1.003197,0.002000,-0.001000,-0.001000
0.684557,93381,0.001000,-0.094000,9.834000,0.000102,-0.009585,1.002789,0.000000,0.000000,-0.002000
0.684835,93382,-0.022000,-0.108000,9.836000,-0.002243,-0.011013,1.002993,0.000000,-0.001000,-0.002000
0.778452,93383,-0.020000,-0.114000,9.820000,-0.002039,-0.011625,1.001361,0.000000,-0.001000,0.000000
0.778741,93384,-0.032000,-0.109000,9.843000,-0.003263,-0.011115,1.003707,0.000000,-0.001000,-0.001000
0.779011,93385,-0.016000,-0.101000,9.860000,-0.001632,-0.010299,1.005440,0.000000,-0.001000,-0.001000
0.779300,93386,-0.014000,-0.093000,9.836000,-0.001428,-0.009483,1.002993,0.000000,-0.002000,-0.001000
0.779574,93387,-0.034000,-0.101000,9.847000,-0.003467,-0.010299,1.004115,0.000000,-0.002000,-0.002000
0.872614,93388,-0.006000,-0.123000,9.854000,-0.000612,-0.012543,1.004828,0.001000,-0.003000,0.000000
0.872914,93389,-0.023000,-0.111000,9.852000,-0.002345,-0.011319,1.004624,0.000000,-0.001000,-0.001000
0.873197,93390,-0.010000,-0.113000,9.856000,-0.001020,-0.011523,1.005032,0.001000,-0.002000,-0.002000
0.873472,93391,-0.021000,-0.088000,9.816000,-0.002141,-0.008974,1.000953,0.000000,-0.002000,-0.001000
0.873729,93392,-0.011000,-0.111000,9.873000,-0.001122,-0.011319,1.006766,0.000000,-0.001000,0.000000
0.970681,93393,-0.023000,-0.099000,9.806000,-0.002345,-0.010095,0.999934,0.000000,-0.001000,-0.001000
0.971359,93394,-0.011000,-0.120000,9.856000,-0.001122,-0.012237,1.005032,0.000000,-0.002000,-0.001000
0.971633,93395,-0.006000,-0.108000,9.857000,-0.000612,-0.011013,1.005134,0.000000,0.000000,-0.002000
0.971891,93396,-0.005000,-0.101000,9.852000,-0.000510,-0.010299,1.004624,0.000000,0.000000,-0.001000
0.972148,93397,-0.003000,-0.094000,9.845000,-0.000306,-0.009585,1.003911,0.001000,-0.002000,-0.001000
1.075782,93398,-0.010000,-0.105000,9.863000,-0.001020,-0.010707,1.005746,0.001000,-0.001000,-0.002000
1.076051,93399,-0.002000,-0.096000,9.830000,-0.000204,-0.009789,1.002381,0.000000,-0.002000,-0.001000
1.076324,93400,-0.016000,-0.118000,9.847000,-0.001632,-0.012033,1.004115,-0.001000,-0.001000,0.000000
1.076583,93401,-0.009000,-0.111000,9.863000,-0.000918,-0.011319,1.005746,0.000000,-0.001000,0.000000
1.076842,93402,-0.014000,-0.087000,9.842000,-0.001428,-0.008872,1.003605,0.001000,-0.001000,0.000000
1.165339,93403,-0.017000,-0.113000,9.857000,-0.001734,-0.011523,1.005134,0.000000,-0.001000,0.000000
1.165615,93404,-0.011000,-0.107000,9.861000,-0.001122,-0.010911,1.005542,0.001000,-0.001000,0.000000
1.165892,93405,-0.019000,-0.102000,9.825000,-0.001937,-0.010401,1.001871,0.000000,-0.001000,-0.001000
