time_sec,seq,ax_ms2,ay_ms2,az_ms2,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2092.190000,209219,-0.001000,-0.447000,9.821000,-0.000102,-0.045581,1.001463,0.001000,-0.001000,-0.001000
2092.240000,209224,-0.008000,-0.460000,9.827000,-0.000816,-0.046907,1.002075,-0.001000,-0.003000,-0.001000
2092.290000,209229,-0.014000,-0.450000,9.833000,-0.001428,-0.045887,1.002687,0.002000,-0.001000,-0.002000
2092.340000,209234,0.000000,-0.445000,9.818000,0.000000,-0.045377,1.001157,-0.005000,-0.002000,-0.001000
2092.390000,209239,-0.006000,-0.442000,9.836000,-0.000612,-0.045071,1.002993,-0.001000,-0.001000,-0.001000
2092.440000,209244,-0.010000,-0.450000,9.845000,-0.001020,-0.045887,1.003911,0.001000,-0.001000,-0.001000
2092.490000,209249,0.001000,-0.445000,9.821000,0.000102,-0.045377,1.001463,-0.001000,-0.001000,-0.001000
2092.540000,209254,-0.005000,-0.448000,9.825000,-0.000510,-0.045683,1.001871,-0.002000,-0.002000,-0.001000
2092.590000,209259,-0.010000,-0.436000,9.844000,-0.001020,-0.044460,1.003809,0.002000,-0.002000,0.000000
2092.640000,209264,0.002000,-0.458000,9.844000,0.000204,-0.046703,1.003809,0.001000,0.000000,-0.002000
2092.690000,209269,-0.013000,-0.460000,9.831000,-0.001326,-0.046907,1.002483,-0.002000,-0.001000,-0.001000
2092.740000,209274,0.006000,-0.449000,9.832000,0.000612,-0.045785,1.002585,0.001000,-0.001000,-0.001000
2092.790000,209279,0.000000,-0.439000,9.836000,0.000000,-0.044766,1.002993,0.000000,-0.003000,0.000000
2092.840000,209284,0.001000,-0.455000,9.835000,0.000102,-0.046397,1.002891,-0.001000,-0.001000,-0.001000
2092.890000,209289,0.000000,-0.459000,9.819000,0.000000,-0.046805,1.001259,-0.003000,-0.002000,-0.001000
2092.940000,209294,-0.012000,-0.460000,9.835000,-0.001224,-0.046907,1.002891,0.000000,-0.001000,-0.002000
2092.990000,209299,-0.010000,-0.445000,9.861000,-0.001020,-0.045377,1.005542,0.003000,-0.002000,-0.001000
2093.040000,209304,-0.014000,-0.453000,9.838000,-0.001428,-0.046193,1.003197,0.000000,-0.002000,-0.002000
2093.090000,209309,-0.023000,-0.444000,9.838000,-0.002345,-0.045275,1.003197,0.003000,-0.002000,-0.001000
2093.140000,209314,0.002000,-0.460000,9.809000,0.000204,-0.046907,1.000240,-0.001000,-0.001000,0.000000
2093.190000,209319,-0.016000,-0.435000,9.836000,-0.001632,-0.044358,1.002993,0.001000,-0.001000,-0.002000
2093.240000,209324,-0.013000,-0.441000,9.844000,-0.001326,-0.044969,1.003809,0.001000,-0.001000,0.000000
2093.290000,209329,-0.002000,-0.449000,9.818000,-0.000204,-0.045785,1.001157,-0.001000,-0.001000,0.000000
2093.340000,209334,-0.001000,-0.454000,9.828000,-0.000102,-0.046295,1.002177,0.000000,-0.001000,0.000000
2093.390000,209339,-0.023000,-0.446000,9.841000,-0.002345,-0.045479,1.003503,0.004000,-0.001000,0.000000
2093.440000,209344,0.003000,-0.462000,9.822000,0.000306,-0.047111,1.001565,0.000000,-0.002000,0.000000
2093.490000,209349,0.000000,-0.440000,9.835000,0.000000,-0.044868,1.002891,0.000000,-0.002000,0.000000
